frame_id,elephant_id,posture_class,x1,y1,x2,y2,move_dx,move_dy,trunk_angle,ear_freq,tail_freq,behaviour_label,conflict_risk,alertness_label,video_file
5,1,0,313.9364471435547,235.25262451171875,356.3988800048828,338.28533935546875,0.0,0.0,55.095652638016155,0.0,0.0,aggressive,High,Aggressive,istockphoto-1317374920-640_adpp_is.mp4
10,1,0,314.00531005859375,234.87103271484375,356.484375,338.55499267578125,0.077178955078125,0.05596923828125,55.39430948966413,0.0,0.0,aggressive,High,Aggressive,istockphoto-1317374920-640_adpp_is.mp4
15,1,0,313.65077209472656,235.01144409179688,357.33555603027344,337.9742126464844,0.248321533203125,0.220184326171875,57.447946109877535,0.0,0.0,aggressive,High,Aggressive,istockphoto-1317374920-640_adpp_is.mp4
20,1,0,313.30821228027344,234.86469268798828,358.27113342285156,338.0247116088867,0.2965087890625,0.048126220703125,63.29308539779106,0.0,0.0,aggressive,High,Aggressive,istockphoto-1317374920-640_adpp_is.mp4
25,1,0,312.90234375,234.86033630371094,359.96044921875,338.12098693847656,0.6417236328125,0.04595947265625,60.583959165397175,0.0,0.0,aggressive,High,Aggressive,istockphoto-1317374920-640_adpp_is.mp4
30,1,0,313.2075653076172,235.3112564086914,358.5438995361328,337.92488861083984,0.5556640625,0.127410888671875,62.67418829671783,0.0,0.0,aggressive,High,Aggressive,istockphoto-1317374920-640_adpp_is.mp4
60,1,0,313.35328674316406,237.84581756591797,355.83433532714844,339.6071243286133,1.28192138671875,2.1083984375,57.83439457065119,0.0,0.0,aggressive,High,Aggressive,istockphoto-1317374920-640_adpp_is.mp4
65,1,0,313.18104553222656,237.83877563476562,355.38035583496094,340.7484436035156,0.3131103515625,0.567138671875,56.73664656724674,0.0,0.0,aggressive,High,Aggressive,istockphoto-1317374920-640_adpp_is.mp4
70,1,0,312.86627197265625,237.80157470703125,355.4971923828125,340.33917236328125,0.098968505859375,0.223236083984375,54.02977429727898,0.0,0.0,aggressive,High,Aggressive,istockphoto-1317374920-640_adpp_is.mp4
75,1,0,312.8116912841797,237.19039916992188,355.4673614501953,341.0721740722656,0.042205810546875,0.0609130859375,52.10010925296698,0.0,0.0,aggressive,High,Aggressive,istockphoto-1317374920-640_adpp_is.mp4
80,1,0,312.9866638183594,236.65740966796875,355.2116394042969,339.54144287109375,0.040374755859375,1.0318603515625,81.90482814923321,0.0,0.0,aggressive,High,Aggressive,istockphoto-1317374920-640_adpp_is.mp4
90,1,0,312.31121826171875,236.63739013671875,356.4407958984375,339.46795654296875,0.27685546875,0.0467529296875,46.11838667222073,0.0,0.0,aggressive,High,Aggressive,istockphoto-1317374920-640_adpp_is.mp4
95,1,0,312.31056213378906,236.4615249633789,357.61863708496094,340.0289535522461,0.588592529296875,0.19256591796875,67.67750995715079,0.0,0.0,aggressive,High,Aggressive,istockphoto-1317374920-640_adpp_is.mp4
100,1,0,312.5503387451172,236.37879180908203,357.3282012939453,339.6051559448242,0.02532958984375,0.253265380859375,61.270546628868715,0.0,0.0,aggressive,High,Aggressive,istockphoto-1317374920-640_adpp_is.mp4
